"","location_name","location_id","sex_id","age_group_id","year_start","year_end","sim_cause","proportion"
"1","Alabama",523,1,2,1990,2022,"residual",1
"2","Alaska",524,1,2,1990,2022,"residual",1
"3","Arizona",525,1,2,1990,2022,"residual",1
"4","Arkansas",526,1,2,1990,2022,"residual",1
"5","California",527,1,2,1990,2022,"residual",1
"6","Colorado",528,1,2,1990,2022,"residual",1
"7","Connecticut",529,1,2,1990,2022,"residual",1
"8","Delaware",530,1,2,1990,2022,"residual",0.999999999999999
"9","District of Columbia",531,1,2,1990,2022,"residual",1
"10","Florida",532,1,2,1990,2022,"residual",1
"11","Georgia",533,1,2,1990,2022,"residual",1
"12","Hawaii",534,1,2,1990,2022,"residual",1
"13","Idaho",535,1,2,1990,2022,"residual",1
"14","Illinois",536,1,2,1990,2022,"residual",1
"15","Indiana",537,1,2,1990,2022,"residual",1
"16","Iowa",538,1,2,1990,2022,"residual",0.999999999999999
"17","Kansas",539,1,2,1990,2022,"residual",1
"18","Kentucky",540,1,2,1990,2022,"residual",1
"19","Louisiana",541,1,2,1990,2022,"residual",1
"20","Maine",542,1,2,1990,2022,"residual",1
"21","Maryland",543,1,2,1990,2022,"residual",1
"22","Massachusetts",544,1,2,1990,2022,"residual",1
"23","Michigan",545,1,2,1990,2022,"residual",1
"24","Minnesota",546,1,2,1990,2022,"residual",1
"25","Mississippi",547,1,2,1990,2022,"residual",1
"26","Missouri",548,1,2,1990,2022,"residual",1
"27","Montana",549,1,2,1990,2022,"residual",1
"28","Nebraska",550,1,2,1990,2022,"residual",0.999999999999999
"29","Nevada",551,1,2,1990,2022,"residual",1
"30","New Hampshire",552,1,2,1990,2022,"residual",1
"31","New Jersey",553,1,2,1990,2022,"residual",1
"32","New Mexico",554,1,2,1990,2022,"residual",0.999999999999999
"33","New York",555,1,2,1990,2022,"residual",1
"34","North Carolina",556,1,2,1990,2022,"residual",0.999999999999999
"35","North Dakota",557,1,2,1990,2022,"residual",0.999999999999999
"36","Ohio",558,1,2,1990,2022,"residual",1
"37","Oklahoma",559,1,2,1990,2022,"residual",1
