"","location_name","location_id","sex_id","age_group_id","year_start","year_end","sim_cause","proportion"
"38","Oregon",560,1,2,1990,2022,"residual",1
"39","Pennsylvania",561,1,2,1990,2022,"residual",1
"40","Rhode Island",562,1,2,1990,2022,"residual",1
"41","South Carolina",563,1,2,1990,2022,"residual",1
"42","South Dakota",564,1,2,1990,2022,"residual",1
"43","Tennessee",565,1,2,1990,2022,"residual",1
"44","Texas",566,1,2,1990,2022,"residual",1
"45","Utah",567,1,2,1990,2022,"residual",1
"46","Vermont",568,1,2,1990,2022,"residual",1
"47","Virginia",569,1,2,1990,2022,"residual",0.999999999999999
"48","Washington",570,1,2,1990,2022,"residual",1
"49","West Virginia",571,1,2,1990,2022,"residual",1
"50","Wisconsin",572,1,2,1990,2022,"residual",0.999999999999999
"51","Wyoming",573,1,2,1990,2022,"residual",1
"52","Alabama",523,1,3,1990,2022,"residual",0.999999999999999
"53","Alaska",524,1,3,1990,2022,"residual",1
"54","Arizona",525,1,3,1990,2022,"residual",1
"55","Arkansas",526,1,3,1990,2022,"residual",1
"56","California",527,1,3,1990,2022,"residual",1
"57","Colorado",528,1,3,1990,2022,"residual",1
"58","Connecticut",529,1,3,1990,2022,"residual",1
"59","Delaware",530,1,3,1990,2022,"residual",0.999999999999999
"60","District of Columbia",531,1,3,1990,2022,"residual",1
"61","Florida",532,1,3,1990,2022,"residual",1
"62","Georgia",533,1,3,1990,2022,"residual",1
"63","Hawaii",534,1,3,1990,2022,"residual",1
"64","Idaho",535,1,3,1990,2022,"residual",1
"65","Illinois",536,1,3,1990,2022,"residual",1
"66","Indiana",537,1,3,1990,2022,"residual",1
"67","Iowa",538,1,3,1990,2022,"residual",1
"68","Kansas",539,1,3,1990,2022,"residual",0.999999999999999
"69","Kentucky",540,1,3,1990,2022,"residual",1
"70","Louisiana",541,1,3,1990,2022,"residual",1
"71","Maine",542,1,3,1990,2022,"residual",1
"72","Maryland",543,1,3,1990,2022,"residual",1
"73","Massachusetts",544,1,3,1990,2022,"residual",1
"74","Michigan",545,1,3,1990,2022,"residual",1
"75","Minnesota",546,1,3,1990,2022,"residual",1
"76","Mississippi",547,1,3,1990,2022,"residual",0.999999999999999
"77","Missouri",548,1,3,1990,2022,"residual",0.999999999999999
"78","Montana",549,1,3,1990,2022,"residual",1
"79","Nebraska",550,1,3,1990,2022,"residual",1
"80","Nevada",551,1,3,1990,2022,"residual",1
"81","New Hampshire",552,1,3,1990,2022,"residual",1
"82","New Jersey",553,1,3,1990,2022,"residual",1
"83","New Mexico",554,1,3,1990,2022,"residual",1
"84","New York",555,1,3,1990,2022,"residual",1
"85","North Carolina",556,1,3,1990,2022,"residual",0.999999999999999
"86","North Dakota",557,1,3,1990,2022,"residual",0.999999999999999
"87","Ohio",558,1,3,1990,2022,"residual",1
"88","Oklahoma",559,1,3,1990,2022,"residual",1
"89","Oregon",560,1,3,1990,2022,"residual",0.999999999999999
"90","Pennsylvania",561,1,3,1990,2022,"residual",1
"91","Rhode Island",562,1,3,1990,2022,"residual",1
"92","South Carolina",563,1,3,1990,2022,"residual",1
"93","South Dakota",564,1,3,1990,2022,"residual",1
"94","Tennessee",565,1,3,1990,2022,"residual",1
"95","Texas",566,1,3,1990,2022,"residual",1
"96","Utah",567,1,3,1990,2022,"residual",1
"97","Vermont",568,1,3,1990,2022,"residual",1
"98","Virginia",569,1,3,1990,2022,"residual",1
"99","Washington",570,1,3,1990,2022,"residual",1
"100","West Virginia",571,1,3,1990,2022,"residual",1
"101","Wisconsin",572,1,3,1990,2022,"residual",1
"102","Wyoming",573,1,3,1990,2022,"residual",1
"103","Alabama",523,1,6,1990,2022,"residual",1
"104","Alaska",524,1,6,1990,2022,"residual",1
"105","Arizona",525,1,6,1990,2022,"residual",1
"106","Arkansas",526,1,6,1990,2022,"residual",1
"107","California",527,1,6,1990,2022,"residual",1
"108","Colorado",528,1,6,1990,2022,"residual",1
"109","Connecticut",529,1,6,1990,2022,"residual",1
"110","Delaware",530,1,6,1990,2022,"residual",1
"111","District of Columbia",531,1,6,1990,2022,"residual",1
"112","Florida",532,1,6,1990,2022,"residual",1
"113","Georgia",533,1,6,1990,2022,"residual",1
"114","Hawaii",534,1,6,1990,2022,"residual",1
"115","Idaho",535,1,6,1990,2022,"residual",1
"116","Illinois",536,1,6,1990,2022,"residual",1
"117","Indiana",537,1,6,1990,2022,"residual",1
"118","Iowa",538,1,6,1990,2022,"residual",1
"119","Kansas",539,1,6,1990,2022,"residual",1
"120","Kentucky",540,1,6,1990,2022,"residual",1
"121","Louisiana",541,1,6,1990,2022,"residual",1
"122","Maine",542,1,6,1990,2022,"residual",1
"123","Maryland",543,1,6,1990,2022,"residual",1
"124","Massachusetts",544,1,6,1990,2022,"residual",1
"125","Michigan",545,1,6,1990,2022,"residual",1
"126","Minnesota",546,1,6,1990,2022,"residual",1
"127","Mississippi",547,1,6,1990,2022,"residual",1
"128","Missouri",548,1,6,1990,2022,"residual",1
"129","Montana",549,1,6,1990,2022,"residual",1
"130","Nebraska",550,1,6,1990,2022,"residual",1
"131","Nevada",551,1,6,1990,2022,"residual",0.999999999999999
"132","New Hampshire",552,1,6,1990,2022,"residual",0.999999999999999
"133","New Jersey",553,1,6,1990,2022,"residual",1
"134","New Mexico",554,1,6,1990,2022,"residual",1
"135","New York",555,1,6,1990,2022,"residual",1
"136","North Carolina",556,1,6,1990,2022,"residual",1
"137","North Dakota",557,1,6,1990,2022,"residual",1
"138","Ohio",558,1,6,1990,2022,"residual",1
"139","Oklahoma",559,1,6,1990,2022,"residual",1
"140","Oregon",560,1,6,1990,2022,"residual",1
"141","Pennsylvania",561,1,6,1990,2022,"residual",1
"142","Rhode Island",562,1,6,1990,2022,"residual",1
"143","South Carolina",563,1,6,1990,2022,"residual",0.999999999999999
"144","South Dakota",564,1,6,1990,2022,"residual",0.999999999999999
"145","Tennessee",565,1,6,1990,2022,"residual",1
"146","Texas",566,1,6,1990,2022,"residual",1
"147","Utah",567,1,6,1990,2022,"residual",0.999999999999999
"148","Vermont",568,1,6,1990,2022,"residual",0.999999999999999
"149","Virginia",569,1,6,1990,2022,"residual",1
"150","Washington",570,1,6,1990,2022,"residual",1
"151","West Virginia",571,1,6,1990,2022,"residual",1
"152","Wisconsin",572,1,6,1990,2022,"residual",1
"153","Wyoming",573,1,6,1990,2022,"residual",0.999999999999999
"154","Alabama",523,1,7,1990,2022,"residual",1
"155","Alaska",524,1,7,1990,2022,"residual",1
"156","Arizona",525,1,7,1990,2022,"residual",1
"157","Arkansas",526,1,7,1990,2022,"residual",1
"158","California",527,1,7,1990,2022,"residual",0.999999999999999
"159","Colorado",528,1,7,1990,2022,"residual",1
"160","Connecticut",529,1,7,1990,2022,"residual",1
"161","Delaware",530,1,7,1990,2022,"residual",1
"162","District of Columbia",531,1,7,1990,2022,"residual",1
"163","Florida",532,1,7,1990,2022,"residual",1
"164","Georgia",533,1,7,1990,2022,"residual",1
"165","Hawaii",534,1,7,1990,2022,"residual",1
"166","Idaho",535,1,7,1990,2022,"residual",1
"167","Illinois",536,1,7,1990,2022,"residual",1
"168","Indiana",537,1,7,1990,2022,"residual",1
"169","Iowa",538,1,7,1990,2022,"residual",1
"170","Kansas",539,1,7,1990,2022,"residual",1
"171","Kentucky",540,1,7,1990,2022,"residual",1
"172","Louisiana",541,1,7,1990,2022,"residual",1
"173","Maine",542,1,7,1990,2022,"residual",1
"174","Maryland",543,1,7,1990,2022,"residual",1
"175","Massachusetts",544,1,7,1990,2022,"residual",0.999999999999999
"176","Michigan",545,1,7,1990,2022,"residual",0.999999999999999
"177","Minnesota",546,1,7,1990,2022,"residual",1
"178","Mississippi",547,1,7,1990,2022,"residual",1
"179","Missouri",548,1,7,1990,2022,"residual",1
"180","Montana",549,1,7,1990,2022,"residual",1
"181","Nebraska",550,1,7,1990,2022,"residual",1
"182","Nevada",551,1,7,1990,2022,"residual",1
"183","New Hampshire",552,1,7,1990,2022,"residual",1
"184","New Jersey",553,1,7,1990,2022,"residual",1
"185","New Mexico",554,1,7,1990,2022,"residual",1
"186","New York",555,1,7,1990,2022,"residual",1
"187","North Carolina",556,1,7,1990,2022,"residual",1
"188","North Dakota",557,1,7,1990,2022,"residual",1
"189","Ohio",558,1,7,1990,2022,"residual",1
"190","Oklahoma",559,1,7,1990,2022,"residual",1
"191","Oregon",560,1,7,1990,2022,"residual",1
"192","Pennsylvania",561,1,7,1990,2022,"residual",1
"193","Rhode Island",562,1,7,1990,2022,"residual",1
"194","South Carolina",563,1,7,1990,2022,"residual",1
"195","South Dakota",564,1,7,1990,2022,"residual",1
"196","Tennessee",565,1,7,1990,2022,"residual",0.999999999999999
"197","Texas",566,1,7,1990,2022,"residual",1
"198","Utah",567,1,7,1990,2022,"residual",1
"199","Vermont",568,1,7,1990,2022,"residual",1
"200","Virginia",569,1,7,1990,2022,"residual",1
"201","Washington",570,1,7,1990,2022,"residual",1
"202","West Virginia",571,1,7,1990,2022,"residual",1
"203","Wisconsin",572,1,7,1990,2022,"residual",1
"204","Wyoming",573,1,7,1990,2022,"residual",0.999999999999999
"205","Alabama",523,1,8,1990,2022,"residual",0.879703574981136
"206","Alaska",524,1,8,1990,2022,"residual",0.885480586483937
"207","Arizona",525,1,8,1990,2022,"residual",0.868122355278684
"208","Arkansas",526,1,8,1990,2022,"residual",0.852732346678925
"209","California",527,1,8,1990,2022,"residual",0.893650078670596
"210","Colorado",528,1,8,1990,2022,"residual",0.882068132162138
"211","Connecticut",529,1,8,1990,2022,"residual",0.905814329627649
"212","Delaware",530,1,8,1990,2022,"residual",0.887795990129488
"213","District of Columbia",531,1,8,1990,2022,"residual",0.846057203364408
"214","Florida",532,1,8,1990,2022,"residual",0.878998885247065
"215","Georgia",533,1,8,1990,2022,"residual",0.869472467837468
"216","Hawaii",534,1,8,1990,2022,"residual",0.940305489226207
"217","Idaho",535,1,8,1990,2022,"residual",0.892004100421741
"218","Illinois",536,1,8,1990,2022,"residual",0.877430166971155
"219","Indiana",537,1,8,1990,2022,"residual",0.905039054031495
"220","Iowa",538,1,8,1990,2022,"residual",0.868683305213935
"221","Kansas",539,1,8,1990,2022,"residual",0.899357596616246
"222","Kentucky",540,1,8,1990,2022,"residual",0.869696038304824
"223","Louisiana",541,1,8,1990,2022,"residual",0.852745532364598
"224","Maine",542,1,8,1990,2022,"residual",0.908693668661771
"225","Maryland",543,1,8,1990,2022,"residual",0.8733253964487
"226","Massachusetts",544,1,8,1990,2022,"residual",0.896111847700554
"227","Michigan",545,1,8,1990,2022,"residual",0.887036452347609
"228","Minnesota",546,1,8,1990,2022,"residual",0.905312832996348
"229","Mississippi",547,1,8,1990,2022,"residual",0.846017023621621
"230","Missouri",548,1,8,1990,2022,"residual",0.878781034017379
"231","Montana",549,1,8,1990,2022,"residual",0.89657068557885
"232","Nebraska",550,1,8,1990,2022,"residual",0.891799871763125
"233","Nevada",551,1,8,1990,2022,"residual",0.852635473956409
"234","New Hampshire",552,1,8,1990,2022,"residual",0.888809236657008
"235","New Jersey",553,1,8,1990,2022,"residual",0.895685809134562
"236","New Mexico",554,1,8,1990,2022,"residual",0.878174594277333
"237","New York",555,1,8,1990,2022,"residual",0.845685927407305
"238","North Carolina",556,1,8,1990,2022,"residual",0.889277407250273
"239","North Dakota",557,1,8,1990,2022,"residual",0.881893901013563
"240","Ohio",558,1,8,1990,2022,"residual",0.880815374892019
"241","Oklahoma",559,1,8,1990,2022,"residual",0.836935132391531
"242","Oregon",560,1,8,1990,2022,"residual",0.902434410343532
"243","Pennsylvania",561,1,8,1990,2022,"residual",0.90935700567693
"244","Rhode Island",562,1,8,1990,2022,"residual",0.851004510539552
"245","South Carolina",563,1,8,1990,2022,"residual",0.895007761096398
"246","South Dakota",564,1,8,1990,2022,"residual",0.871426915274425
"247","Tennessee",565,1,8,1990,2022,"residual",0.846895532561552
"248","Texas",566,1,8,1990,2022,"residual",0.863084812338254
"249","Utah",567,1,8,1990,2022,"residual",0.89279139066483
"250","Vermont",568,1,8,1990,2022,"residual",0.886636902639584
"251","Virginia",569,1,8,1990,2022,"residual",0.89938393313786
"252","Washington",570,1,8,1990,2022,"residual",0.897413141838488
"253","West Virginia",571,1,8,1990,2022,"residual",0.879354820747993
"254","Wisconsin",572,1,8,1990,2022,"residual",0.902393599692893
"255","Wyoming",573,1,8,1990,2022,"residual",0.880265088327477
"256","Alabama",523,1,9,1990,2022,"residual",0.750303321067342
"257","Alaska",524,1,9,1990,2022,"residual",0.771831305413949
"258","Arizona",525,1,9,1990,2022,"residual",0.736926015158563
"259","Arkansas",526,1,9,1990,2022,"residual",0.710183101556809
"260","California",527,1,9,1990,2022,"residual",0.784090088910265
"261","Colorado",528,1,9,1990,2022,"residual",0.758165240464929
"262","Connecticut",529,1,9,1990,2022,"residual",0.806628082281414
"263","Delaware",530,1,9,1990,2022,"residual",0.773005600068622
"264","District of Columbia",531,1,9,1990,2022,"residual",0.684414757198376
"265","Florida",532,1,9,1990,2022,"residual",0.752989943936901
"266","Georgia",533,1,9,1990,2022,"residual",0.72463297573289
"267","Hawaii",534,1,9,1990,2022,"residual",0.864503662313303
"268","Idaho",535,1,9,1990,2022,"residual",0.784362717848848
"269","Illinois",536,1,9,1990,2022,"residual",0.760727275919632
"270","Indiana",537,1,9,1990,2022,"residual",0.815945298024964
"271","Iowa",538,1,9,1990,2022,"residual",0.752100415339127
"272","Kansas",539,1,9,1990,2022,"residual",0.80024715586512
"273","Kentucky",540,1,9,1990,2022,"residual",0.741556231471262
"274","Louisiana",541,1,9,1990,2022,"residual",0.701217881667893
"275","Maine",542,1,9,1990,2022,"residual",0.823588957694012
"276","Maryland",543,1,9,1990,2022,"residual",0.735358965650304
"277","Massachusetts",544,1,9,1990,2022,"residual",0.79062548400192
"278","Michigan",545,1,9,1990,2022,"residual",0.769873650266348
"279","Minnesota",546,1,9,1990,2022,"residual",0.808942383325556
"280","Mississippi",547,1,9,1990,2022,"residual",0.675793586992452
"281","Missouri",548,1,9,1990,2022,"residual",0.756642958028975
"282","Montana",549,1,9,1990,2022,"residual",0.80069360351392
"283","Nebraska",550,1,9,1990,2022,"residual",0.78706650225825
"284","Nevada",551,1,9,1990,2022,"residual",0.711747533552248
"285","New Hampshire",552,1,9,1990,2022,"residual",0.776477223080989
"286","New Jersey",553,1,9,1990,2022,"residual",0.781661472448906
"287","New Mexico",554,1,9,1990,2022,"residual",0.763078906067734
"288","New York",555,1,9,1990,2022,"residual",0.677915437902322
"289","North Carolina",556,1,9,1990,2022,"residual",0.777660637652131
"290","North Dakota",557,1,9,1990,2022,"residual",0.768235706431296
"291","Ohio",558,1,9,1990,2022,"residual",0.750543337303509
"292","Oklahoma",559,1,9,1990,2022,"residual",0.683828071110962
"293","Oregon",560,1,9,1990,2022,"residual",0.805350458912371
"294","Pennsylvania",561,1,9,1990,2022,"residual",0.808240792084875
"295","Rhode Island",562,1,9,1990,2022,"residual",0.724514193580791
"296","South Carolina",563,1,9,1990,2022,"residual",0.787221569927486
"297","South Dakota",564,1,9,1990,2022,"residual",0.765646058566939
"298","Tennessee",565,1,9,1990,2022,"residual",0.686732618113617
"299","Texas",566,1,9,1990,2022,"residual",0.700673792271895
"300","Utah",567,1,9,1990,2022,"residual",0.785195146248119
"301","Vermont",568,1,9,1990,2022,"residual",0.757280860780027
"302","Virginia",569,1,9,1990,2022,"residual",0.79102375266687
"303","Washington",570,1,9,1990,2022,"residual",0.790494423906998
"304","West Virginia",571,1,9,1990,2022,"residual",0.769500301360326
"305","Wisconsin",572,1,9,1990,2022,"residual",0.803060504396026
"306","Wyoming",573,1,9,1990,2022,"residual",0.767758096741965
"307","Alabama",523,1,10,1990,2022,"residual",0.638666849034018
"308","Alaska",524,1,10,1990,2022,"residual",0.682163476025197
"309","Arizona",525,1,10,1990,2022,"residual",0.669006507609124
"310","Arkansas",526,1,10,1990,2022,"residual",0.588932719795454
"311","California",527,1,10,1990,2022,"residual",0.716073758875883
"312","Colorado",528,1,10,1990,2022,"residual",0.696355575386426
"313","Connecticut",529,1,10,1990,2022,"residual",0.731521541411735
"314","Delaware",530,1,10,1990,2022,"residual",0.674620282508141
"315","District of Columbia",531,1,10,1990,2022,"residual",0.574529818566798
"316","Florida",532,1,10,1990,2022,"residual",0.604297938197463
"317","Georgia",533,1,10,1990,2022,"residual",0.578571694317227
"318","Hawaii",534,1,10,1990,2022,"residual",0.787878362500557
"319","Idaho",535,1,10,1990,2022,"residual",0.689157792570736
"320","Illinois",536,1,10,1990,2022,"residual",0.670891971865617
"321","Indiana",537,1,10,1990,2022,"residual",0.703202722297875
"322","Iowa",538,1,10,1990,2022,"residual",0.645820686629869
"323","Kansas",539,1,10,1990,2022,"residual",0.706986247273335
"324","Kentucky",540,1,10,1990,2022,"residual",0.61258115125444
"325","Louisiana",541,1,10,1990,2022,"residual",0.58758616442312
"326","Maine",542,1,10,1990,2022,"residual",0.733818102135133
"327","Maryland",543,1,10,1990,2022,"residual",0.638195034386612
"328","Massachusetts",544,1,10,1990,2022,"residual",0.704307197908405
"329","Michigan",545,1,10,1990,2022,"residual",0.677204281792848
"330","Minnesota",546,1,10,1990,2022,"residual",0.713670852333249
"331","Mississippi",547,1,10,1990,2022,"residual",0.543576640182134
"332","Missouri",548,1,10,1990,2022,"residual",0.634561625945068
"333","Montana",549,1,10,1990,2022,"residual",0.70762035873301
"334","Nebraska",550,1,10,1990,2022,"residual",0.691349086113135
"335","Nevada",551,1,10,1990,2022,"residual",0.594378704016505
"336","New Hampshire",552,1,10,1990,2022,"residual",0.685753543317777
"337","New Jersey",553,1,10,1990,2022,"residual",0.709174466574781
"338","New Mexico",554,1,10,1990,2022,"residual",0.667041952997791
"339","New York",555,1,10,1990,2022,"residual",0.588040703072077
"340","North Carolina",556,1,10,1990,2022,"residual",0.706692528337051
"341","North Dakota",557,1,10,1990,2022,"residual",0.683732868917737
"342","Ohio",558,1,10,1990,2022,"residual",0.644095975407722
"343","Oklahoma",559,1,10,1990,2022,"residual",0.563661644391809
"344","Oregon",560,1,10,1990,2022,"residual",0.718627624584018
"345","Pennsylvania",561,1,10,1990,2022,"residual",0.724177901270595
"346","Rhode Island",562,1,10,1990,2022,"residual",0.631407676660678
"347","South Carolina",563,1,10,1990,2022,"residual",0.707433873204043
"348","South Dakota",564,1,10,1990,2022,"residual",0.674593043457732
"349","Tennessee",565,1,10,1990,2022,"residual",0.570654764535773
"350","Texas",566,1,10,1990,2022,"residual",0.604416707228924
"351","Utah",567,1,10,1990,2022,"residual",0.699644341199416
"352","Vermont",568,1,10,1990,2022,"residual",0.67087184173711
"353","Virginia",569,1,10,1990,2022,"residual",0.680231513549236
"354","Washington",570,1,10,1990,2022,"residual",0.722082976027962
"355","West Virginia",571,1,10,1990,2022,"residual",0.669006762641663
"356","Wisconsin",572,1,10,1990,2022,"residual",0.691357535922226
"357","Wyoming",573,1,10,1990,2022,"residual",0.676502559454929
"358","Alabama",523,1,11,1990,2022,"residual",0.504083647249594
"359","Alaska",524,1,11,1990,2022,"residual",0.583422590459852
"360","Arizona",525,1,11,1990,2022,"residual",0.570904829475499
"361","Arkansas",526,1,11,1990,2022,"residual",0.451351562430752
"362","California",527,1,11,1990,2022,"residual",0.623622460878082
"363","Colorado",528,1,11,1990,2022,"residual",0.584121808512112
"364","Connecticut",529,1,11,1990,2022,"residual",0.61997763977969
"365","Delaware",530,1,11,1990,2022,"residual",0.575709025035957
"366","District of Columbia",531,1,11,1990,2022,"residual",0.44186536425277
"367","Florida",532,1,11,1990,2022,"residual",0.501022685974461
"368","Georgia",533,1,11,1990,2022,"residual",0.46161476384885
"369","Hawaii",534,1,11,1990,2022,"residual",0.688786496103625
"370","Idaho",535,1,11,1990,2022,"residual",0.581958947887556
"371","Illinois",536,1,11,1990,2022,"residual",0.55575392286469
"372","Indiana",537,1,11,1990,2022,"residual",0.611807480995591
"373","Iowa",538,1,11,1990,2022,"residual",0.536768357812593
"374","Kansas",539,1,11,1990,2022,"residual",0.595456456289777
"375","Kentucky",540,1,11,1990,2022,"residual",0.491833513985341
"376","Louisiana",541,1,11,1990,2022,"residual",0.459495964470808
"377","Maine",542,1,11,1990,2022,"residual",0.637296085259649
"378","Maryland",543,1,11,1990,2022,"residual",0.50762017737733
"379","Massachusetts",544,1,11,1990,2022,"residual",0.60271460382191
"380","Michigan",545,1,11,1990,2022,"residual",0.56677956594861
"381","Minnesota",546,1,11,1990,2022,"residual",0.620098712242945
"382","Mississippi",547,1,11,1990,2022,"residual",0.406374639988411
"383","Missouri",548,1,11,1990,2022,"residual",0.503800734070187
"384","Montana",549,1,11,1990,2022,"residual",0.589688122201421
"385","Nebraska",550,1,11,1990,2022,"residual",0.582523275620575
"386","Nevada",551,1,11,1990,2022,"residual",0.508969939962356
"387","New Hampshire",552,1,11,1990,2022,"residual",0.602855753182737
"388","New Jersey",553,1,11,1990,2022,"residual",0.60888342910812
"389","New Mexico",554,1,11,1990,2022,"residual",0.588165783265466
"390","New York",555,1,11,1990,2022,"residual",0.500089170574371
"391","North Carolina",556,1,11,1990,2022,"residual",0.580625057364987
"392","North Dakota",557,1,11,1990,2022,"residual",0.542122070458766
"393","Ohio",558,1,11,1990,2022,"residual",0.522758539652994
"394","Oklahoma",559,1,11,1990,2022,"residual",0.447585869187982
"395","Oregon",560,1,11,1990,2022,"residual",0.642269393026233
"396","Pennsylvania",561,1,11,1990,2022,"residual",0.605561279600612
"397","Rhode Island",562,1,11,1990,2022,"residual",0.537861821873402
"398","South Carolina",563,1,11,1990,2022,"residual",0.592899538988626
"399","South Dakota",564,1,11,1990,2022,"residual",0.543436344254679
"400","Tennessee",565,1,11,1990,2022,"residual",0.436372997480819
"401","Texas",566,1,11,1990,2022,"residual",0.473615503038861
"402","Utah",567,1,11,1990,2022,"residual",0.589287758359297
"403","Vermont",568,1,11,1990,2022,"residual",0.56037281711493
"404","Virginia",569,1,11,1990,2022,"residual",0.536273809672676
"405","Washington",570,1,11,1990,2022,"residual",0.618549869719484
"406","West Virginia",571,1,11,1990,2022,"residual",0.573608300274335
"407","Wisconsin",572,1,11,1990,2022,"residual",0.574301870932642
"408","Wyoming",573,1,11,1990,2022,"residual",0.575656829494077
"409","Alabama",523,1,12,1990,2022,"residual",0.406585487188256
"410","Alaska",524,1,12,1990,2022,"residual",0.482659622165181
"411","Arizona",525,1,12,1990,2022,"residual",0.475326929574783
"412","Arkansas",526,1,12,1990,2022,"residual",0.354600144907696
"413","California",527,1,12,1990,2022,"residual",0.542290829947873
"414","Colorado",528,1,12,1990,2022,"residual",0.493490403015152
"415","Connecticut",529,1,12,1990,2022,"residual",0.508033721873765
"416","Delaware",530,1,12,1990,2022,"residual",0.481042357663458
"417","District of Columbia",531,1,12,1990,2022,"residual",0.399349622014779
"418","Florida",532,1,12,1990,2022,"residual",0.422167471750031
"419","Georgia",533,1,12,1990,2022,"residual",0.405869850112862
"420","Hawaii",534,1,12,1990,2022,"residual",0.581986718699451
"421","Idaho",535,1,12,1990,2022,"residual",0.476252307838749
"422","Illinois",536,1,12,1990,2022,"residual",0.459332355921111
"423","Indiana",537,1,12,1990,2022,"residual",0.512863952938925
"424","Iowa",538,1,12,1990,2022,"residual",0.422934890798029
"425","Kansas",539,1,12,1990,2022,"residual",0.474862334022492
"426","Kentucky",540,1,12,1990,2022,"residual",0.392795302644273
"427","Louisiana",541,1,12,1990,2022,"residual",0.374729176117975
"428","Maine",542,1,12,1990,2022,"residual",0.515660708112585
"429","Maryland",543,1,12,1990,2022,"residual",0.465564552156534
"430","Massachusetts",544,1,12,1990,2022,"residual",0.513288876952895
"431","Michigan",545,1,12,1990,2022,"residual",0.477167532644484
"432","Minnesota",546,1,12,1990,2022,"residual",0.502053901194723
"433","Mississippi",547,1,12,1990,2022,"residual",0.330925860723795
"434","Missouri",548,1,12,1990,2022,"residual",0.43419032483278
"435","Montana",549,1,12,1990,2022,"residual",0.487665272070039
"436","Nebraska",550,1,12,1990,2022,"residual",0.463122681070083
"437","Nevada",551,1,12,1990,2022,"residual",0.450324422174841
"438","New Hampshire",552,1,12,1990,2022,"residual",0.487870919404804
"439","New Jersey",553,1,12,1990,2022,"residual",0.537515451870567
"440","New Mexico",554,1,12,1990,2022,"residual",0.512748518502439
"441","New York",555,1,12,1990,2022,"residual",0.395351093541174
"442","North Carolina",556,1,12,1990,2022,"residual",0.485611846708858
"443","North Dakota",557,1,12,1990,2022,"residual",0.455120675602289
"444","Ohio",558,1,12,1990,2022,"residual",0.43285118346518
"445","Oklahoma",559,1,12,1990,2022,"residual",0.353763667286598
"446","Oregon",560,1,12,1990,2022,"residual",0.537245146087031
"447","Pennsylvania",561,1,12,1990,2022,"residual",0.518753043249988
"448","Rhode Island",562,1,12,1990,2022,"residual",0.459373014892617
"449","South Carolina",563,1,12,1990,2022,"residual",0.490660549436901
"450","South Dakota",564,1,12,1990,2022,"residual",0.444168291174592
"451","Tennessee",565,1,12,1990,2022,"residual",0.352953357961299
"452","Texas",566,1,12,1990,2022,"residual",0.379857679663973
"453","Utah",567,1,12,1990,2022,"residual",0.495482539587607
"454","Vermont",568,1,12,1990,2022,"residual",0.460660806940063
"455","Virginia",569,1,12,1990,2022,"residual",0.443404787918122
"456","Washington",570,1,12,1990,2022,"residual",0.538780135872588
"457","West Virginia",571,1,12,1990,2022,"residual",0.42533821702476
"458","Wisconsin",572,1,12,1990,2022,"residual",0.477627634110982
"459","Wyoming",573,1,12,1990,2022,"residual",0.478278534979427
"460","Alabama",523,1,13,1990,2022,"residual",0.376776073921852
"461","Alaska",524,1,13,1990,2022,"residual",0.427647934082398
"462","Arizona",525,1,13,1990,2022,"residual",0.455212914723398
