,state,year,sex,age_group,percent_on_BP_meds_among_high_BP_group,percent_on_chol_meds_among_high_chol_group,percent_high_BP,percent_high_chol,sbp_average,ldl_average,sbp_rr,ldl_rr,both_rr
0,Alabama,2021,female,25-29,0.285488496765621,0.0,0.0804481508456757,0.0467987016671817,0.29829591842635467,0.11624693748981142,0.95706471034435,0.33,0.643532355172175
1,Alaska,2021,female,25-29,0.0,0.0,0.0624674760553354,0.0941333807095521,0.29829591842635467,0.11624693748981142,0.33,0.33,0.33
2,Arizona,2021,female,25-29,0.268544596484314,0.0,0.0679078353481758,0.227291450613677,0.29829591842635467,0.11624693748981142,0.9002623901158544,0.33,0.6151311950579272
3,Arkansas,2021,female,25-29,0.646521960565019,0.0,0.0778331834856098,0.118129438902128,0.29829591842635467,0.11624693748981142,2.1673845353825607,0.33,1.2486922676912804
4,California,2021,female,25-29,0.260713635998046,0.151234804183139,0.0849637460169973,0.125712785032643,0.29829591842635467,0.11624693748981142,0.8740100681679718,1.3009788253251329,1.0874944467465524
5,Colorado,2021,female,25-29,0.321399974859213,0.144306266126464,0.0466829868177103,0.134703069097399,0.29829591842635467,0.11624693748981142,1.0774534782599194,1.2413769277931461,1.1594152030265328
6,Connecticut,2021,female,25-29,0.378122591216591,0.179906749086513,0.0661004673844616,0.183633504017576,0.29829591842635467,0.11624693748981142,1.2676090011937071,1.5476257092990608,1.407617355246384
7,Delaware,2021,female,25-29,0.729702205676706,0.0615519575830765,0.0811966090043049,0.194862439596435,0.29829591842635467,0.11624693748981142,2.4462359710659594,0.5294931540753173,1.4878645625706384
8,District of Columbia,2021,female,25-29,0.45053916693588,0.0648318917532904,0.0286286123046079,0.160837875422928,0.29829591842635467,0.11624693748981142,1.5103765727425202,0.5577083848679684,1.0340424788052442
9,Florida,2019,female,25-29,0.417912797915279,0.217363279888957,0.0771425796829329,0.13926425253024,0.29829591842635467,0.11624693748981142,1.4010007247834877,1.8698409143725445,1.635420819578016
10,Georgia,2021,female,25-29,0.587033607383526,0.0667317967384969,0.0871385855385643,0.149108414253397,0.29829591842635467,0.11624693748981142,1.967957223418921,0.5740520841191681,1.2710046537690447
11,Hawaii,2021,female,25-29,0.170101219801615,0.289152004639599,0.0808709433453,0.0792454642402803,0.29829591842635467,0.11624693748981142,0.5702432024513628,2.4873946005239236,1.5288189014876432
12,Idaho,2021,female,25-29,0.146375810553463,0.259421676500391,0.104688305759777,0.0858761578274459,0.29829591842635467,0.11624693748981142,0.4907067160880421,2.231643104775369,1.3611749104317055
13,Illinois,2021,female,25-29,0.365567599304876,0.342936782746135,0.0388927275821835,0.15880144984606,0.29829591842635467,0.11624693748981142,1.2255199509044903,2.9500715472714454,2.087795749087968
14,Indiana,2021,female,25-29,0.466138395704694,0.0611071417947018,0.111781423321458,0.116830101171232,0.29829591842635467,0.11624693748981142,1.5626710488154985,0.5256666808969277,1.044168864856213
15,Iowa,2021,female,25-29,0.270223359683924,0.491965243292067,0.0934617008720405,0.0903351321109954,0.29829591842635467,0.11624693748981142,0.9058902351378925,4.232070572484422,2.568980403811157
16,Kansas,2021,female,25-29,0.243197966063036,0.0,0.0517727399420388,0.127190136345133,0.29829591842635467,0.11624693748981142,0.8152909612240584,0.33,0.5726454806120292
17,Kentucky,2021,female,25-29,0.274252638660158,0.0,0.138385535065223,0.14211380425643,0.29829591842635467,0.11624693748981142,0.9193978922238165,0.33,0.6246989461119082
18,Louisiana,2021,female,25-29,0.48729541807766,0.236023670890853,0.104062350403073,0.179243369838846,0.29829591842635467,0.11624693748981142,1.6335973373298665,2.030364635726765,1.8319809865283156
19,Maine,2021,female,25-29,0.368510983448596,0.0,0.0922765239803196,0.155653888133543,0.29829591842635467,0.11624693748981142,1.235387280498699,0.33,0.7826936402493495
20,Maryland,2021,female,25-29,0.192057962642106,0.0974184496059439,0.100640378706362,0.137025188019056,0.29829591842635467,0.11624693748981142,0.6438504544591098,0.8380302458676147,0.7409403501633622
21,Massachusetts,2021,female,25-29,0.0,0.109037967515637,0.0310220950919561,0.097815399405071,0.29829591842635467,0.11624693748981142,0.33,0.9379857213459386,0.6339928606729693
