,age_start,age_cat,sex,state,SBP_med_rate,LDL_med_rate,sbp_average,ldl_average,sbp_rr,ldl_rr,both_rr
0,25,1,female,alabama,0.1,0.09399504576157144,0.09181035040470395,0.10041556322666471,1.0892018117695417,0.9360605342560251,1.0126311730127835
1,25,1,female,alaska,0.1,0.1,0.09181035040470395,0.10041556322666471,1.0892018117695417,0.9958615655451071,1.0425316886573244
2,25,1,female,arizona,0.05193065459728953,0.10807166532687588,0.09181035040470395,0.10041556322666471,0.5656296307374603,1.0762441782348948,0.8209369044861776
3,25,1,female,arkansas,0.1,0.1,0.09181035040470395,0.10041556322666471,1.0892018117695417,0.9958615655451071,1.0425316886573244
4,25,1,female,california,0.10712109742623024,0.10001110504487622,0.09181035040470395,0.10041556322666471,1.1667649339539155,0.9959721564188658,1.0813685451863906
5,30,2,female,alabama,0.07394356756055702,0.1,0.1034777089977684,0.07550135432851676,0.7145845059456398,1.3244795525771136,1.0195320292613768
6,30,2,female,alaska,0.04691278942582808,0.06046616679904666,0.1034777089977684,0.07550135432851676,0.4533613072825163,0.8008620154805444,0.6271116613815303
7,30,2,female,arizona,0.2101869663205269,0.1,0.1034777089977684,0.07550135432851676,2.031229415071992,1.3244795525771136,1.6778544838245528
8,30,2,female,arkansas,0.15890451681992085,0.017040604843537106,0.1034777089977684,0.07550135432851676,1.5356400751329717,0.22569932678811422,0.880669700960543
9,30,2,female,california,0.027440704862009127,0.1,0.1034777089977684,0.07550135432851676,0.26518469656688004,1.3244795525771136,0.7948321245719968
10,35,3,female,alabama,0.07136378466019486,0.1,0.07192456945343902,0.06955441504371009,0.9922031539777629,1.4377232550537158,1.2149632045157395
11,35,3,female,alaska,0.04499397784267853,0.1,0.07192456945343902,0.06955441504371009,0.6255717369543069,1.4377232550537158,1.0316474960040114
12,35,3,female,arizona,0.07769786689046157,0.03879985353783878,0.07192456945343902,0.06955441504371009,1.0802687799300619,0.5578345172402901,0.819051648585176
13,35,3,female,arkansas,0.109428729883913,0.10625384162288479,0.07192456945343902,0.06955441504371009,1.5214373991456789,1.527636190400159,1.524536794772919
14,35,3,female,california,0.05613848798994708,0.002718380057826819,0.07192456945343902,0.06955441504371009,0.7805189299921887,0.03908278225211882,0.4098008561221538
15,40,4,female,alabama,0.2942855156910491,0.11126514263847609,0.2634330219260962,0.10298631720339561,1.1171170324030535,1.0803876248796234,1.0987523286413383
16,40,4,female,alaska,0.18534677563340685,0.07016101724961189,0.2634330219260962,0.10298631720339561,0.7035821639908312,0.6812654258822121,0.6924237949365216
17,40,4,female,arizona,0.21790263687080963,0.15426052081590222,0.2634330219260962,0.10298631720339561,0.827165232656141,1.4978739409745203,1.1625195868153306
18,40,4,female,arkansas,0.46663674955620743,0.007784333017158307,0.2634330219260962,0.10298631720339561,1.7713677129176244,0.07558608976942469,0.9234769013435246
19,40,4,female,california,0.152993431879008,0.1714605722958295,0.2634330219260962,0.10298631720339561,0.5807678580323501,1.664886918494219,1.1228273882632847
20,45,5,female,alabama,0.29243090163295027,0.21096207440076953,0.26319468184893813,0.16865138542758476,1.1110821068975565,1.2508766166723964,1.1809793617849764
21,45,5,female,alaska,0.20196713727439472,0.1,0.26319468184893813,0.16865138542758476,0.7673678505035856,0.5929390959135514,0.6801534732085686
22,45,5,female,arizona,0.19207659224785964,0.1,0.26319468184893813,0.16865138542758476,0.7297890325842638,0.5929390959135514,0.6613640642489076
23,45,5,female,arkansas,0.42207867379204816,0.23049745038382177,0.26319468184893813,0.16865138542758476,1.6036747810668237,1.3667094984096195,1.4851921397382215
24,45,5,female,california,0.20742010429743774,0.20179740235333243,0.26319468184893813,0.16865138542758476,0.78808622894777,1.196535693090881,0.9923109610193255
25,50,6,female,alabama,0.30968007410021975,0.1,0.23512601149410753,0.2089220041574062,1.3170813051791193,0.47864752400449845,0.8978644145918089
26,50,6,female,alaska,0.20339423606454843,0.2343262508176165,0.23512601149410753,0.2089220041574062,0.8650435346224791,1.121596797631092,0.9933201661267856
27,50,6,female,arizona,0.18455368248399118,0.3568167464031195,0.23512601149410753,0.2089220041574062,0.7849139332192357,1.7078945218919417,1.2464042275555887
28,50,6,female,arkansas,0.23008456738798855,0.24858864493326216,0.23512601149410753,0.2089220041574062,0.9785585436758649,1.1898633939293934,1.0842109688026291
29,50,6,female,california,0.24791749743378977,0.10487837863303287,0.23512601149410753,0.2089220041574062,1.054402683303301,0.5019977625430747,0.7782002229231878
30,55,7,female,alabama,0.49101447993538616,0.048548599784950394,0.3304094476015478,0.08751801167467446,1.4860788137254404,0.5547269511265548,1.0204028824259976
31,55,7,female,alaska,0.3065015957902396,0.1354022605351372,0.3304094476015478,0.08751801167467446,0.9276417427381208,1.5471359317263746,1.2373888372322477
32,55,7,female,arizona,0.25680022303015115,0.08285043339131876,0.3304094476015478,0.08751801167467446,0.7772181603591295,0.946667226619519,0.8619426934893242
33,55,7,female,arkansas,0.17377552247424038,0.12506464675593137,0.3304094476015478,0.08751801167467446,0.5259399322134466,1.4290160889489447,0.9774780105811957
34,55,7,female,california,0.4239554167777217,0.0457241179060346,0.3304094476015478,0.08751801167467446,1.283121350963863,0.5224538015786072,0.9027875762712352
35,60,8,female,alabama,0.36465293054022463,0.05377059168743151,0.43376631377099484,0.17079927536646689,0.8406667806222077,0.3148174462219546,0.5777421134220811
